,Year,Airport,Cause,Delays (%)
0,2003,ATL,Air Carrier Delay,3.2581650467004106
1,2003,BOS,Air Carrier Delay,3.9575022832395503
2,2003,BWI,Air Carrier Delay,3.870398317874281
3,2003,CLT,Air Carrier Delay,2.994295318282454
4,2003,DAL,Air Carrier Delay,2.270937642239417
5,2003,DCA,Air Carrier Delay,4.252548884929919
6,2003,DEN,Air Carrier Delay,4.679876390319556
7,2003,DFW,Air Carrier Delay,3.361165957620045
8,2003,DTW,Air Carrier Delay,3.3425790282940073
9,2003,EWR,Air Carrier Delay,2.765824060184045
10,2003,FLL,Air Carrier Delay,4.671893568302367
11,2003,IAD,Air Carrier Delay,3.7387050455805264
12,2003,IAH,Air Carrier Delay,2.4207897709951043
13,2003,JFK,Air Carrier Delay,5.099784300853418
14,2003,LAS,Air Carrier Delay,4.188422966394933
15,2003,LAX,Air Carrier Delay,4.273961697675476
16,2003,LGA,Air Carrier Delay,3.4951442557411116
17,2003,MCO,Air Carrier Delay,4.576488084309476
18,2003,MDW,Air Carrier Delay,2.5354101562500007
19,2003,MIA,Air Carrier Delay,4.881460674157302
20,2003,MSP,Air Carrier Delay,3.7100722641997974
21,2003,ORD,Air Carrier Delay,2.7508966761974487
22,2003,PDX,Air Carrier Delay,4.218194377703028
23,2003,PHL,Air Carrier Delay,3.5066238143764212
24,2003,PHX,Air Carrier Delay,3.796200731409996
25,2003,SAN,Air Carrier Delay,4.790758111016364
26,2003,SEA,Air Carrier Delay,4.744127004027645
27,2003,SFO,Air Carrier Delay,4.427291523087526
28,2003,SLC,Air Carrier Delay,4.123752174494848
29,2003,TPA,Air Carrier Delay,4.119242672492264
30,2004,ATL,Air Carrier Delay,3.979658935847228
31,2004,BOS,Air Carrier Delay,4.314174334798968
32,2004,BWI,Air Carrier Delay,4.324165566660382
33,2004,CLT,Air Carrier Delay,3.64918343459116
34,2004,DAL,Air Carrier Delay,2.811964864025554
35,2004,DCA,Air Carrier Delay,4.707857946328135
36,2004,DEN,Air Carrier Delay,5.446076725815387
37,2004,DFW,Air Carrier Delay,3.581736051764132
38,2004,DTW,Air Carrier Delay,4.288973020907943
39,2004,EWR,Air Carrier Delay,3.0137981623528955
40,2004,FLL,Air Carrier Delay,5.9547299735386074
41,2004,IAD,Air Carrier Delay,2.83960005420952
42,2004,IAH,Air Carrier Delay,2.91778164832555
43,2004,JFK,Air Carrier Delay,5.511518118634437
44,2004,LAS,Air Carrier Delay,5.168908110295467
45,2004,LAX,Air Carrier Delay,5.071352456903219
46,2004,LGA,Air Carrier Delay,3.8798065239375683
47,2004,MCO,Air Carrier Delay,5.606998703603247
48,2004,MDW,Air Carrier Delay,3.127743074860189
49,2004,MIA,Air Carrier Delay,5.74104666309095
50,2004,MSP,Air Carrier Delay,4.412436030052265
51,2004,ORD,Air Carrier Delay,3.2829566779902493
52,2004,PDX,Air Carrier Delay,5.542773231138411
53,2004,PHL,Air Carrier Delay,4.00781898074001
54,2004,PHX,Air Carrier Delay,4.979822129279354
55,2004,SAN,Air Carrier Delay,5.885328934375761
56,2004,SEA,Air Carrier Delay,5.7603141083655585
57,2004,SFO,Air Carrier Delay,5.144154945815076
58,2004,SLC,Air Carrier Delay,6.074746165478505
59,2004,TPA,Air Carrier Delay,5.123212321232124
60,2005,ATL,Air Carrier Delay,4.342496510004651
61,2005,BOS,Air Carrier Delay,5.078465228567191
62,2005,BWI,Air Carrier Delay,4.698460558843357
63,2005,CLT,Air Carrier Delay,5.092228051644219
64,2005,DAL,Air Carrier Delay,3.0745025670144557
65,2005,DCA,Air Carrier Delay,5.22413299759643
66,2005,DEN,Air Carrier Delay,5.9655526823641285
67,2005,DFW,Air Carrier Delay,3.561396441322759
68,2005,DTW,Air Carrier Delay,5.441730716996645
69,2005,EWR,Air Carrier Delay,3.2743350320354234
70,2005,FLL,Air Carrier Delay,6.758510411484614
71,2005,IAD,Air Carrier Delay,3.350844507636112
72,2005,IAH,Air Carrier Delay,2.999071114003075
73,2005,JFK,Air Carrier Delay,5.62540831641211
74,2005,LAS,Air Carrier Delay,5.503882260961945
75,2005,LAX,Air Carrier Delay,6.279539354056626
76,2005,LGA,Air Carrier Delay,4.293210094310781
77,2005,MCO,Air Carrier Delay,6.302583709492689
78,2005,MDW,Air Carrier Delay,3.639432244242098
79,2005,MIA,Air Carrier Delay,6.733158967184697
80,2005,MSP,Air Carrier Delay,5.688891961920289
81,2005,ORD,Air Carrier Delay,4.0708677037502
82,2005,PDX,Air Carrier Delay,6.9570932629371125
83,2005,PHL,Air Carrier Delay,4.894609840423428
84,2005,PHX,Air Carrier Delay,5.032229041667384
85,2005,SAN,Air Carrier Delay,6.769066606761768
86,2005,SEA,Air Carrier Delay,7.929336148252404
87,2005,SFO,Air Carrier Delay,6.750992340372747
88,2005,SLC,Air Carrier Delay,5.4723607466640125
89,2005,TPA,Air Carrier Delay,6.283156014990314
90,2006,ATL,Air Carrier Delay,5.848906575368861
91,2006,BOS,Air Carrier Delay,5.4168739983209955
92,2006,BWI,Air Carrier Delay,4.919610322004909
93,2006,CLT,Air Carrier Delay,6.5481978991095895
94,2006,DAL,Air Carrier Delay,3.323871980044659
95,2006,DCA,Air Carrier Delay,5.479710451231111
96,2006,DEN,Air Carrier Delay,6.107464549308197
97,2006,DFW,Air Carrier Delay,3.906299782285475
98,2006,DTW,Air Carrier Delay,5.942671339563866
99,2006,EWR,Air Carrier Delay,3.143501668183197
100,2006,FLL,Air Carrier Delay,6.043547719069878
101,2006,IAD,Air Carrier Delay,6.431992167564133
102,2006,IAH,Air Carrier Delay,3.543784932411921
103,2006,JFK,Air Carrier Delay,5.8491273174971
104,2006,LAS,Air Carrier Delay,5.426644145607312
105,2006,LAX,Air Carrier Delay,6.950277896536985
106,2006,LGA,Air Carrier Delay,4.617004747518343
107,2006,MCO,Air Carrier Delay,5.574119546570684
108,2006,MDW,Air Carrier Delay,4.480636052905334
109,2006,MIA,Air Carrier Delay,6.556462585034012
