,Airport,Cause,Delays (%)
0,ATL,Air Carrier Delay,4.330082209378873
1,BOS,Air Carrier Delay,5.360498839013344
2,BWI,Air Carrier Delay,4.675333715706637
3,CLT,Air Carrier Delay,4.82365544015406
4,DAL,Air Carrier Delay,3.8987502313456504
5,DCA,Air Carrier Delay,5.294398171723384
6,DEN,Air Carrier Delay,4.860317366586506
7,DFW,Air Carrier Delay,3.9862847514392437
8,DTW,Air Carrier Delay,4.780678310511247
9,EWR,Air Carrier Delay,3.8359201699743535
10,FLL,Air Carrier Delay,6.510496636422272
11,IAD,Air Carrier Delay,5.152398636707204
12,IAH,Air Carrier Delay,3.8220048474056485
13,JFK,Air Carrier Delay,5.200498290939761
14,LAS,Air Carrier Delay,5.106736295068139
15,LAX,Air Carrier Delay,5.4986313500927855
16,LGA,Air Carrier Delay,4.586887416695515
17,MCO,Air Carrier Delay,5.912115746692908
18,MDW,Air Carrier Delay,4.144018994804076
19,MIA,Air Carrier Delay,6.121035897742636
20,MSP,Air Carrier Delay,4.906538526864065
21,ORD,Air Carrier Delay,3.9976363287482273
22,PDX,Air Carrier Delay,5.709289390526354
23,PHL,Air Carrier Delay,4.940241879222703
24,PHX,Air Carrier Delay,4.909333066357232
25,SAN,Air Carrier Delay,6.068437729301331
26,SEA,Air Carrier Delay,5.564565412847731
27,SFO,Air Carrier Delay,5.1975174262127455
28,SLC,Air Carrier Delay,4.69671808603394
29,TPA,Air Carrier Delay,6.045903265727757
30,ATL,Extreme Weather Delay,0.756492317484861
31,BOS,Extreme Weather Delay,0.7873930471477082
32,BWI,Extreme Weather Delay,0.698231226598932
33,CLT,Extreme Weather Delay,0.49428320140721194
34,DAL,Extreme Weather Delay,0.5671705817285
35,DCA,Extreme Weather Delay,0.8017625531030131
36,DEN,Extreme Weather Delay,0.5595847754538348
37,DFW,Extreme Weather Delay,0.8193363441731718
38,DTW,Extreme Weather Delay,0.6538752187053077
39,EWR,Extreme Weather Delay,0.8608850139092707
40,FLL,Extreme Weather Delay,0.59281104991866
41,IAD,Extreme Weather Delay,0.5614363118370769
42,IAH,Extreme Weather Delay,0.5442738289558292
43,JFK,Extreme Weather Delay,0.8000843432325654
44,LAS,Extreme Weather Delay,0.4803596697644001
45,LAX,Extreme Weather Delay,0.5389442506919534
46,LGA,Extreme Weather Delay,1.1356222678827397
47,MCO,Extreme Weather Delay,0.5388442391708356
48,MDW,Extreme Weather Delay,0.7539872012749937
49,MIA,Extreme Weather Delay,0.8151228612591283
50,MSP,Extreme Weather Delay,0.6801998527996377
51,ORD,Extreme Weather Delay,0.5743428170917876
52,PDX,Extreme Weather Delay,0.40331978418360526
53,PHL,Extreme Weather Delay,0.920578462479691
54,PHX,Extreme Weather Delay,0.38158644919372414
55,SAN,Extreme Weather Delay,0.4769633878744362
56,SEA,Extreme Weather Delay,0.4456454058696439
57,SFO,Extreme Weather Delay,0.6593860321501871
58,SLC,Extreme Weather Delay,0.5387486577273604
59,TPA,Extreme Weather Delay,0.5678080860769333
60,ATL,NAS Delay,9.006937551680592
61,BOS,NAS Delay,8.8545250125283
62,BWI,NAS Delay,4.778227521615371
63,CLT,NAS Delay,7.028981005407674
64,DAL,NAS Delay,2.7518123869275715
65,DCA,NAS Delay,6.9990731751152815
66,DEN,NAS Delay,5.841197942255907
67,DFW,NAS Delay,6.085214848124084
68,DTW,NAS Delay,6.196507492051847
69,EWR,NAS Delay,17.467817093783854
70,FLL,NAS Delay,7.797424533344099
71,IAD,NAS Delay,6.180170236250557
72,IAH,NAS Delay,7.60982737300292
73,JFK,NAS Delay,11.557665523593906
74,LAS,NAS Delay,5.699171883257587
75,LAX,NAS Delay,6.734976111229961
76,LGA,NAS Delay,14.876717918477109
77,MCO,NAS Delay,6.278863859319873
78,MDW,NAS Delay,4.891813369544888
79,MIA,NAS Delay,7.613260580134912
80,MSP,NAS Delay,6.753348808243221
81,ORD,NAS Delay,11.10228709626487
82,PDX,NAS Delay,4.486264125087796
83,PHL,NAS Delay,11.24492729420835
84,PHX,NAS Delay,5.017108584487884
85,SAN,NAS Delay,4.682322927990526
86,SEA,NAS Delay,6.269827829144246
87,SFO,NAS Delay,12.413460189368372
88,SLC,NAS Delay,3.8762430362436553
89,TPA,NAS Delay,5.643451668661081
90,ATL,Security Delay,0.02052945630201665
91,BOS,Security Delay,0.033064234275827255
92,BWI,Security Delay,0.05694773479442685
93,CLT,Security Delay,0.0369682095069882
94,DAL,Security Delay,0.043059702242008356
95,DCA,Security Delay,0.03420530052208786
96,DEN,Security Delay,0.038867504277014533
97,DFW,Security Delay,0.03050913851363213
98,DTW,Security Delay,0.03958828272027718
99,EWR,Security Delay,0.04417662407097487
100,FLL,Security Delay,0.07552562875155003
101,IAD,Security Delay,0.032408197845421496
102,IAH,Security Delay,0.05434832072018599
103,JFK,Security Delay,0.06739273982332311
104,LAS,Security Delay,0.06341452225888491
105,LAX,Security Delay,0.061121420623114646
106,LGA,Security Delay,0.023260099537588532
107,MCO,Security Delay,0.05967389118738461
108,MDW,Security Delay,0.0782478594254397
109,MIA,Security Delay,0.055608551766527
110,MSP,Security Delay,0.05190964162373322
111,ORD,Security Delay,0.024572206589653343
112,PDX,Security Delay,0.06656499293001575
113,PHL,Security Delay,0.03473521732141157
114,PHX,Security Delay,0.07144666468847025
115,SAN,Security Delay,0.055308683868293254
116,SEA,Security Delay,0.08268897864974034
117,SFO,Security Delay,0.045959220766817376
118,SLC,Security Delay,0.07072973741934892
119,TPA,Security Delay,0.054784040583801256
120,ATL,Aircraft Arriving Late,5.964395796669481
121,BOS,Aircraft Arriving Late,6.626013128056182
122,BWI,Aircraft Arriving Late,7.75547536007809
123,CLT,Aircraft Arriving Late,5.313414084279812
124,DAL,Aircraft Arriving Late,9.748067815480143
125,DCA,Aircraft Arriving Late,5.550727804217934
126,DEN,Aircraft Arriving Late,6.772787273223683
127,DFW,Aircraft Arriving Late,7.142683427696277
128,DTW,Aircraft Arriving Late,5.956746773004195
129,EWR,Aircraft Arriving Late,6.535645326122975
130,FLL,Aircraft Arriving Late,7.085120671206693
131,IAD,Aircraft Arriving Late,7.361711886728198
132,IAH,Aircraft Arriving Late,5.929157441756937
133,JFK,Aircraft Arriving Late,6.4632517368047235
134,LAS,Aircraft Arriving Late,7.893486520809645
135,LAX,Aircraft Arriving Late,6.8180662451098915
136,LGA,Aircraft Arriving Late,5.562884273403245
137,MCO,Aircraft Arriving Late,6.779052139632092
138,MDW,Aircraft Arriving Late,7.831020238898693
139,MIA,Aircraft Arriving Late,6.181628614241327
140,MSP,Aircraft Arriving Late,5.412234614731358
141,ORD,Aircraft Arriving Late,7.397830092091261
142,PDX,Aircraft Arriving Late,7.497380336052424
143,PHL,Aircraft Arriving Late,5.957893537557765
144,PHX,Aircraft Arriving Late,6.067947026151596
145,SAN,Aircraft Arriving Late,7.523121445419394
146,SEA,Aircraft Arriving Late,6.623308149599431
147,SFO,Aircraft Arriving Late,7.252389750497102
148,SLC,Aircraft Arriving Late,5.38748543003203
149,TPA,Aircraft Arriving Late,7.143401552575863
